日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240430,4673,川崎地質,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4674,クレスコ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4676,フジ・メディア・ホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
20240430,4678,秀英予備校,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4679,田谷,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4680,ラウンドワン,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20240430,4681,リゾートトラスト,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20240430,4684,オービック,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
20240430,4685,菱友システムズ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4686,ジャストシステム,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
20240430,4687,ＴＤＣソフト,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4689,ＬＩＮＥヤフー,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,2,TOPIX Large70
20240430,4690,日本パレットプール,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4691,ワシントンホテル,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4694,ビー・エム・エル,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20240430,4704,トレンドマイクロ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
20240430,4705,クリップコーポレーション,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4707,キタック,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4709,ＩＤホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4712,ＫｅｙＨｏｌｄｅｒ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4714,リソー教育,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4716,日本オラクル,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
20240430,4718,早稲田アカデミー,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4719,アルファシステムズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4720,城南進学研究社,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4722,フューチャー,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
20240430,4725,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4726,ＳＢテクノロジー,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4728,トーセ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4732,ユー・エス・エス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20240430,4733,オービックビジネスコンサルタント,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
20240430,4735,京進,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4736,日本ラッド,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4743,アイティフォー,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4745,東京個別指導学院,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4746,東計電算,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4748,構造計画研究所,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4750,ダイサン,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4751,サイバーエージェント,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20240430,4752,昭和システムエンジニアリング,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4754,トスネット,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4755,楽天グループ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20240430,4760,アルファ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4761,さくらケーシーエス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4762,エックスネット,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4763,クリーク・アンド・リバー社,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4765,ＳＢＩグローバルアセットマネジメント,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4766,ピーエイ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4767,テー・オー・ダブリュー,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4768,大塚商会,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,4,TOPIX Mid400
20240430,4769,ＩＣ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4770,図研エルミック,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4771,エフアンドエム,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4772,ストリームメディアコーポレーション,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4776,サイボウズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
20240430,4777,ガーラ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4781,日本ハウズイング,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4783,ＮＣＤ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4784,ＧＭＯアドパートナーズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4792,山田コンサルティンググループ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4800,オリコン,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4801,セントラルスポーツ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4809,パラカ,プライム（内国株式）,8050,不動産業,17,不動産,7,TOPIX Small 2
20240430,4811,ドリーム・アーツ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4812,電通総研,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
20240430,4813,ＡＣＣＥＳＳ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4814,ネクストウェア,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4816,東映アニメーション,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4819,デジタルガレージ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
20240430,4820,イーエムシステムズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4824,メディアシーク,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4825,ウェザーニューズ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
20240430,4826,ＣＩＪ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4828,ビジネスエンジニアリング,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4829,日本エンタープライズ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4832,ＪＦＥシステムズ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4833,Ｓｕｃｃｅｓｓ　Ｈｏｌｄｅｒｓ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4838,スペースシャワーＳＫＩＹＡＫＩホールディングス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240430,4839,ＷＯＷＯＷ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4840,トライアイズ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240430,4845,スカラ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4847,インテリジェント　ウェイブ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20240430,4848,フルキャストホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20240430,4849,エン・ジャパン,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20240430,4875,メディシノバ・インク,スタンダード（外国株式）,3250,医薬品,5,医薬品,-,-
20240430,4880,セルソース,プライム（内国株式）,3250,医薬品,5,医薬品,7,TOPIX Small 2
20240430,4881,ファンペップ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20240430,4882,ペルセウスプロテオミクス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20240430,4883,モダリス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20240430,4884,クリングルファーマ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20240430,4885,室町ケミカル,スタンダード（内国株式）,3250,医薬品,5,医薬品,-,-
20240430,4886,あすか製薬ホールディングス,プライム（内国株式）,3250,医薬品,5,医薬品,7,TOPIX Small 2
20240430,4887,サワイグループホールディングス,プライム（内国株式）,3250,医薬品,5,医薬品,4,TOPIX Mid400
20240430,4888,ステラファーマ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20240430,4889,レナサイエンス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20240430,4890,坪田ラボ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20240430,4891,ティムス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20240430,4892,サイフューズ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20240430,4893,ノイルイミューン・バイオテック,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20240430,4894,クオリプス,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20240430,4896,ケイファーマ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20240430,4901,富士フイルムホールディングス,プライム（内国株式）,3200,化学,4,素材・化学,2,TOPIX Large70
20240430,4902,コニカミノルタ,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20240430,4911,資生堂,プライム（内国株式）,3200,化学,4,素材・化学,2,TOPIX Large70
20240430,4912,ライオン,プライム（内国株式）,3200,化学,4,素材・化学,4,TOPIX Mid400
20240430,4914,高砂香料工業,プライム（内国株式）,3200,化学,4,素材・化学,7,TOPIX Small 2
20240430,4917,マンダム,プライム（内国株式）,3200,化学,4,素材・化学,6,TOPIX Small 1
20240430,4918,アイビー化粧品,スタンダード（内国株式）,3200,化学,4,素材・化学,-,-
20240430,4919,ミルボン,プライム（内国株式）,3200,化学,4,素材・化学,4,TOPIX Mid400
